2022-04-03 22:36:35.836 [main] INFO  com.yindahu.MagicApiApplication - Starting MagicApiApplication using Java 1.8.0_181 on yindahu with PID 780 (C:\Users\Administrator\Desktop\pr_plugin\vt_api\target\classes started by Administrator in C:\Users\Administrator\Desktop\pr_plugin\vt_api) 
2022-04-03 22:36:35.839 [main] INFO  com.yindahu.MagicApiApplication - No active profile set, falling back to default profiles: default 
2022-04-03 22:36:37.546 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9999 (http) 
2022-04-03 22:36:37.552 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9999"] 
2022-04-03 22:36:37.553 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
2022-04-03 22:36:37.553 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.45] 
2022-04-03 22:36:37.610 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
2022-04-03 22:36:37.610 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1741 ms 
2022-04-03 22:36:37.617 [main] INFO  com.beans.MagicApiDruidDataSource - 注册druid监控servlet 
2022-04-03 22:36:37.632 [main] INFO  o.s.aop.framework.CglibAopProxy - Unable to proxy interface-implementing method [public final org.springframework.web.servlet.HandlerExecutionChain org.springframework.web.servlet.handler.AbstractHandlerMapping.getHandler(javax.servlet.http.HttpServletRequest) throws java.lang.Exception] because it is marked as final: Consider using interface-based JDK proxies instead! 
2022-04-03 22:36:37.632 [main] INFO  o.s.aop.framework.CglibAopProxy - Unable to proxy interface-implementing method [public final void org.springframework.web.context.support.WebApplicationObjectSupport.setServletContext(javax.servlet.ServletContext)] because it is marked as final: Consider using interface-based JDK proxies instead! 
